question,original_result,generated_cypher,generated_result
Which movies have been both written and directed by the same person and what are their titles?,"[{""movie_title"": ""Jerry Maguire""}, {""movie_title"": ""Speed Racer""}, {""movie_title"": ""Speed Racer""}, {""movie_title"": ""Something's Gotta Give""}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:WROTE]-(p) RETURN p.name AS WriterDirector, m.title AS MovieTitle LIMIT 50;","[{""MovieTitle"": ""Jerry Maguire"", ""WriterDirector"": ""Cameron Crowe""}, {""MovieTitle"": ""Speed Racer"", ""WriterDirector"": ""Lana Wachowski""}, {""MovieTitle"": ""Speed Racer"", ""WriterDirector"": ""Lilly Wachowski""}, {""MovieTitle"": ""Something's Gotta Give"", ""WriterDirector"": ""Nancy Meyers""}]"
List the movies with exactly 3 roles in the ACTED_IN relationship.,"[{""m.title"": ""Joe Versus the Volcano""}, {""m.title"": ""Cloud Atlas""}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH m, COUNT(r.roles) AS role_count WHERE role_count = 3 RETURN m.title AS Movie, role_count AS RolesCount ORDER BY m.title LIMIT 50;","[{""Movie"": ""Charlie Wilson's War"", ""RolesCount"": 3}, {""Movie"": ""Joe Versus the Volcano"", ""RolesCount"": 3}, {""Movie"": ""Something's Gotta Give"", ""RolesCount"": 3}, {""Movie"": ""That Thing You Do"", ""RolesCount"": 3}, {""Movie"": ""The Birdcage"", ""RolesCount"": 3}, {""Movie"": ""The Devil's Advocate"", ""RolesCount"": 3}, {""Movie"": ""Unforgiven"", ""RolesCount"": 3}]"
What are the first 3 movies with a released year of 2008?,"[{""m.title"": ""Frost/Nixon"", ""m.released"": 2008}, {""m.title"": ""Speed Racer"", ""m.released"": 2008}]","MATCH (m:Movie) WHERE m.released = 2008 RETURN m.title AS Movie, m.released AS ReleasedYear ORDER BY m.title LIMIT 3;","[{""Movie"": ""Frost/Nixon"", ""ReleasedYear"": 2008}, {""Movie"": ""Speed Racer"", ""ReleasedYear"": 2008}]"
What is the average number of words in the review summaries of movies with a rating above 95?,"[{""average_word_count"": 5.0}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.rating > 95 RETURN AVG(size(split(r.summary, ' '))) AS AverageWordsInReviewSummaries LIMIT 1;","[{""AverageWordsInReviewSummaries"": 5.0}]"
Which people follow Keanu Reeves and have also acted in a movie with him?,[],"MATCH (keanu:Person {name: ""Keanu Reeves""})<-[:FOLLOWS]-(follower:Person)-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(keanu) RETURN follower.name AS Follower, m.title AS Movie ORDER BY follower.name LIMIT 50;",[]
"Show top 3 persons who directed, produced, and acted in the same movie.",[],"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:PRODUCED]-(p2:Person)-[:ACTED_IN]->(m) WHERE p = p2 RETURN p.name AS Person, m.title AS Movie ORDER BY m.title LIMIT 3;",[]
Who are the first three people who have directed and reviewed the same movie?,[],"MATCH (d:Person)-[:DIRECTED]->(m:Movie)<-[r:REVIEWED]-(rev:Person) RETURN DISTINCT d.name AS Director, rev.name AS Reviewer, m.title AS Movie ORDER BY Director, Reviewer LIMIT 3;","[{""Director"": ""Cameron Crowe"", ""Movie"": ""Jerry Maguire"", ""Reviewer"": ""Jessica Thompson""}, {""Director"": ""Clint Eastwood"", ""Movie"": ""Unforgiven"", ""Reviewer"": ""Jessica Thompson""}, {""Director"": ""Howard Deutch"", ""Movie"": ""The Replacements"", ""Reviewer"": ""Angela Scope""}]"
Find all movies with a rating above 90.,"[{""m.title"": ""Jerry Maguire"", ""r.rating"": 92}, {""m.title"": ""The Replacements"", ""r.rating"": 100}, {""m.title"": ""Cloud Atlas"", ""r.rating"": 95}]","MATCH (m:Movie) WHERE m.votes > 90 RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 50;","[{""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}, {""Movie"": ""Top Gun"", ""Votes"": 545}, {""Movie"": ""A Few Good Men"", ""Votes"": 485}, {""Movie"": ""The Da Vinci Code"", ""Votes"": 308}, {""Movie"": ""The Devil's Advocate"", ""Votes"": 249}, {""Movie"": ""Apollo 13"", ""Votes"": 214}, {""Movie"": ""The Polar Express"", ""Votes"": 184}, {""Movie"": ""The Matrix"", ""Votes"": 165}, {""Movie"": ""Jerry Maguire"", ""Votes"": 155}, {""Movie"": ""As Good as It Gets"", ""Votes"": 123}, {""Movie"": ""Bicentennial Man"", ""Votes"": 123}, {""Movie"": ""Cloud Atlas"", ""Votes"": 121}, {""Movie"": ""Joe Versus the Volcano"", ""Votes"": 111}, {""Movie"": ""Cast Away"", ""Votes"": 108}]"
Which year saw the release of the most movies?,"[{""releaseYear"": 1999, ""movieCount"": 4}]","MATCH (m:Movie) WITH m.released AS ReleaseYear, COUNT(m) AS MovieCount RETURN ReleaseYear, MovieCount ORDER BY MovieCount DESC LIMIT 1;","[{""MovieCount"": 4, ""ReleaseYear"": 1999}]"
"List all movies that have a 'Fun, but a little far fetched' review summary.","[{""m.title"": ""The Da Vinci Code""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.summary = 'Fun, but a little far fetched' RETURN m.title AS Movie, p.name AS Reviewer, r.rating AS Rating ORDER BY m.title LIMIT 50;","[{""Movie"": ""The Da Vinci Code"", ""Rating"": 65, ""Reviewer"": ""James Thompson""}]"
"Which people have reviewed a movie with the words ""Robin Williams"" in the summary?","[{""p.name"": ""Jessica Thompson""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) CONTAINS ""robin williams"" RETURN p.name AS Reviewer, r.summary AS Summary, r.rating AS Rating ORDER BY p.name LIMIT 50;","[{""Rating"": 45, ""Reviewer"": ""Jessica Thompson"", ""Summary"": ""Slapstick redeemed only by the Robin Williams and Gene Hackman's stellar performances""}]"
List 3 actors who also have roles as producers.,[],MATCH (p:Person) WHERE EXISTS((p)-[:ACTED_IN]->(:Movie)) AND EXISTS((p)-[:PRODUCED]->(:Movie)) RETURN p.name AS ActorProducer LIMIT 3;,[]
Who are the first 3 actors in the movie titled 'Speed Racer'?,"[{""p.name"": ""Emile Hirsch"", ""r.roles"": [""Speed Racer""]}, {""p.name"": ""Rain"", ""r.roles"": [""Taejo Togokahn""]}, {""p.name"": ""Christina Ricci"", ""r.roles"": [""Trixie""]}]","MATCH (m:Movie {title: ""Speed Racer""})<-[:ACTED_IN]-(p:Person) RETURN p.name AS Actor ORDER BY p.name LIMIT 3;","[{""Actor"": ""Ben Miles""}, {""Actor"": ""Christina Ricci""}, {""Actor"": ""Emile Hirsch""}]"
List the first 3 movies that have been produced and directed by the same person.,"[{""MovieTitle"": ""Jerry Maguire""}, {""MovieTitle"": ""When Harry Met Sally""}, {""MovieTitle"": ""Something's Gotta Give""}]","MATCH (p:Person)-[d:DIRECTED]->(m:Movie)<-[pr:PRODUCED]-(p) RETURN p.name AS ProducerDirector, m.title AS Movie LIMIT 3;","[{""Movie"": ""Jerry Maguire"", ""ProducerDirector"": ""Cameron Crowe""}, {""Movie"": ""When Harry Met Sally"", ""ProducerDirector"": ""Rob Reiner""}, {""Movie"": ""Something's Gotta Give"", ""ProducerDirector"": ""Nancy Meyers""}]"
"Which movies have the word ""coolest"" in their review summary?","[{""m.title"": ""The Replacements""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) CONTAINS ""coolest"" RETURN m.title AS Movie, p.name AS Reviewer, r.summary AS Summary, r.rating AS Rating ORDER BY m.title LIMIT 50;","[{""Movie"": ""The Replacements"", ""Rating"": 100, ""Reviewer"": ""James Thompson"", ""Summary"": ""The coolest football movie ever""}]"
Who are the top 3 producers of movies with a tagline including 'Speed'?,"[{""p.name"": ""Joel Silver"", ""movies_produced"": 1}]","MATCH (p:Person)-[:PRODUCED]->(m:Movie) WHERE toLower(m.tagline) CONTAINS ""speed"" WITH p, COUNT(m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Producer, movie_count AS MoviesProduced LIMIT 3;","[{""MoviesProduced"": 1, ""Producer"": ""Joel Silver""}]"
List the first 3 movies released in the 21st century that Laurence Fishburne produced.,[],"MATCH (p:Person {name: ""Laurence Fishburne""})-[r:PRODUCED]->(m:Movie) WHERE m.released >= 2000 RETURN m.title AS Movie, m.released AS Released ORDER BY m.released LIMIT 3;",[]
Which person has the highest average rating for movies they wrote?,"[{""p.name"": ""David Mitchell"", ""average_rating"": 95.0}]","MATCH (p:Person)-[r:WROTE]->(m:Movie) WITH p, AVG(r.rating) AS average_rating RETURN p.name AS Writer, average_rating ORDER BY average_rating DESC LIMIT 1;","[{""Writer"": ""Aaron Sorkin"", ""average_rating"": null}]"
"Who has the most movies with a 'Silly, but fun' review summary?","[{""personName"": ""Jessica Thompson"", ""movieCount"": 1}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) = ""silly, but fun"" WITH p, COUNT(m) AS movie_count RETURN p.name AS Reviewer, movie_count AS MoviesCount ORDER BY movie_count DESC LIMIT 1;","[{""MoviesCount"": 1, ""Reviewer"": ""Jessica Thompson""}]"
What are the 3 most common taglines found in the movies?,"[{""Tagline"": ""Free your mind"", ""Frequency"": 1}, {""Tagline"": ""Everything that has a beginning has an end"", ""Frequency"": 1}, {""Tagline"": ""Welcome to the Real World"", ""Frequency"": 1}]","MATCH (m:Movie) WITH m.tagline AS Tagline, COUNT(m) AS TaglineCount ORDER BY TaglineCount DESC LIMIT 3 RETURN Tagline, TaglineCount AS Count;","[{""Count"": 1, ""Tagline"": ""Free your mind""}, {""Count"": 1, ""Tagline"": ""Everything that has a beginning has an end""}, {""Count"": 1, ""Tagline"": ""Welcome to the Real World""}]"
Who has produced movies but never acted in any?,"[{""p.name"": ""Lilly Wachowski""}, {""p.name"": ""Lana Wachowski""}, {""p.name"": ""Joel Silver""}, {""p.name"": ""Rob Reiner""}, {""p.name"": ""Cameron Crowe""}, {""p.name"": ""Nora Ephron""}, {""p.name"": ""Stefan Arndt""}, {""p.name"": ""Nancy Meyers""}]",MATCH (p:Person)-[:PRODUCED]->(m:Movie) WHERE NOT (p)-[:ACTED_IN]->(:Movie) RETURN p.name AS Producer LIMIT 50;,"[{""Producer"": ""Joel Silver""}, {""Producer"": ""Joel Silver""}, {""Producer"": ""Joel Silver""}, {""Producer"": ""Cameron Crowe""}, {""Producer"": ""Nora Ephron""}, {""Producer"": ""Rob Reiner""}, {""Producer"": ""Stefan Arndt""}, {""Producer"": ""Lana Wachowski""}, {""Producer"": ""Lilly Wachowski""}, {""Producer"": ""Joel Silver""}, {""Producer"": ""Joel Silver""}, {""Producer"": ""Lana Wachowski""}, {""Producer"": ""Joel Silver""}, {""Producer"": ""Lilly Wachowski""}, {""Producer"": ""Nancy Meyers""}]"
Which persons have acted in and directed the same movie?,"[{""personName"": ""Tom Hanks"", ""movieTitle"": ""That Thing You Do""}, {""personName"": ""Clint Eastwood"", ""movieTitle"": ""Unforgiven""}, {""personName"": ""Danny DeVito"", ""movieTitle"": ""Hoffa""}]","MATCH (p:Person)-[a:ACTED_IN]->(m:Movie)<-[d:DIRECTED]-(p) RETURN p.name AS Person, m.title AS Movie LIMIT 50;","[{""Movie"": ""That Thing You Do"", ""Person"": ""Tom Hanks""}, {""Movie"": ""Unforgiven"", ""Person"": ""Clint Eastwood""}, {""Movie"": ""Hoffa"", ""Person"": ""Danny DeVito""}]"
Which persons have directed the most movies with a tagline containing 'world'?,"[{""director"": ""James Marshall"", ""movieCount"": 1}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE toLower(m.tagline) CONTAINS ""world"" WITH p, COUNT(m) AS movie_count RETURN p.name AS Director, movie_count AS MoviesDirected ORDER BY movie_count DESC LIMIT 50;","[{""Director"": ""Lana Wachowski"", ""MoviesDirected"": 1}, {""Director"": ""Lilly Wachowski"", ""MoviesDirected"": 1}, {""Director"": ""James Marshall"", ""MoviesDirected"": 1}, {""Director"": ""Robert Zemeckis"", ""MoviesDirected"": 1}]"
Find the top 5 movies with the most votes.,"[{""m"": {""tagline"": ""Free your mind"", ""votes"": 1905, ""title"": ""The Matrix Reloaded"", ""released"": 2003}}, {""m"": {""tagline"": ""Everything that has a beginning has an end"", ""votes"": 1566, ""title"": ""The Matrix Revolutions"", ""released"": 2003}}, {""m"": {""tagline"": ""I feel the need, the need for speed."", ""votes"": 545, ""title"": ""Top Gun"", ""released"": 1986}}, {""m"": {""tagline"": ""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."", ""votes"": 485, ""title"": ""A Few Good Men"", ""released"": 1992}}, {""m"": {""tagline"": ""Break The Codes"", ""votes"": 308, ""title"": ""The Da Vinci Code"", ""released"": 2006}}]","MATCH (m:Movie) RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 5;","[{""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}, {""Movie"": ""Top Gun"", ""Votes"": 545}, {""Movie"": ""A Few Good Men"", ""Votes"": 485}, {""Movie"": ""The Da Vinci Code"", ""Votes"": 308}]"
Find all people born in 1949 who have directed a movie.,"[{""p"": {""born"": 1949, ""name"": ""Nancy Meyers""}}]","MATCH (p:Person {born: 1949})-[r:DIRECTED]->(m:Movie) RETURN p.name AS Director, m.title AS Movie LIMIT 50;","[{""Director"": ""Nancy Meyers"", ""Movie"": ""Something's Gotta Give""}]"
Find all movies that have been produced by persons born after 1960 limited to top 5.,"[{""m"": {""tagline"": ""Everything is connected"", ""votes"": 121, ""title"": ""Cloud Atlas"", ""released"": 2012}}, {""m"": {""tagline"": ""Freedom! Forever!"", ""votes"": 29, ""title"": ""V for Vendetta"", ""released"": 2006}}, {""m"": {""tagline"": ""Prepare to enter a secret world of assassins"", ""votes"": 15, ""title"": ""Ninja Assassin"", ""released"": 2009}}, {""m"": {""tagline"": ""Freedom! Forever!"", ""votes"": 29, ""title"": ""V for Vendetta"", ""released"": 2006}}, {""m"": {""tagline"": ""Prepare to enter a secret world of assassins"", ""votes"": 15, ""title"": ""Ninja Assassin"", ""released"": 2009}}]","MATCH (p:Person) WHERE p.born > 1960 MATCH (p)-[r:PRODUCED]->(m:Movie) RETURN m.title AS Movie, p.name AS Producer ORDER BY m.title LIMIT 5;","[{""Movie"": ""Cloud Atlas"", ""Producer"": ""Stefan Arndt""}, {""Movie"": ""Ninja Assassin"", ""Producer"": ""Lana Wachowski""}, {""Movie"": ""Ninja Assassin"", ""Producer"": ""Lilly Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Lana Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Lilly Wachowski""}]"
List all movies with more than 2000 votes.,[],"MATCH (m:Movie) WHERE m.votes > 2000 RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 50;",[]
