question,original_result,generated_cypher,generated_result
Who are the customers that purchased orders shipped to France?,"[{""CustomerName"": ""Vins et alcools Chevalier"", ""ContactName"": ""Paul Henriot"", ""ContactTitle"": ""Accounting Manager"", ""City"": ""Reims"", ""Country"": ""France""}, {""CustomerName"": ""La maison d'Asie"", ""ContactName"": ""Annette Roulet"", ""ContactTitle"": ""Sales Manager"", ""City"": ""Toulouse"", ""Country"": ""France""}]","MATCH (c:Customer)-[:PURCHASED]->(o:Order) WHERE o.shipCountry = ""France"" RETURN c.companyName AS Customer, o.orderID AS OrderID LIMIT 50;","[{""Customer"": ""Vins et alcools Chevalier"", ""OrderID"": ""10248""}, {""Customer"": ""Vins et alcools Chevalier"", ""OrderID"": ""10274""}, {""Customer"": ""Vins et alcools Chevalier"", ""OrderID"": ""10295""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10350""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10358""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10371""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10413""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10425""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10454""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10493""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10500""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10610""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10631""}, {""Customer"": ""Vins et alcools Chevalier"", ""OrderID"": ""10737""}, {""Customer"": ""Vins et alcools Chevalier"", ""OrderID"": ""10739""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10787""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10832""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""10923""}, {""Customer"": ""La maison d'Asie"", ""OrderID"": ""11051""}]"
Which 3 suppliers supply products with more than 50 units in stock?,"[{""s.companyName"": ""New Orleans Cajun Delights""}, {""s.companyName"": ""Grandma Kelly's Homestead""}, {""s.companyName"": ""Cooperativa de Quesos 'Las Cabras'""}]",MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE p.unitsInStock > 50 RETURN DISTINCT s.companyName AS Supplier LIMIT 3;,"[{""Supplier"": ""New Orleans Cajun Delights""}, {""Supplier"": ""Grandma Kelly's Homestead""}, {""Supplier"": ""Cooperativa de Quesos 'Las Cabras'""}]"
List all products supplied by 'Exotic Liquids'.,"[{""p"": {""reorderLevel"": 10, ""unitsInStock"": 39, ""unitPrice"": 18.0, ""supplierID"": ""1"", ""productID"": ""1"", ""quantityPerUnit"": ""10 boxes x 20 bags"", ""discontinued"": false, ""productName"": ""Chai"", ""unitsOnOrder"": 0, ""categoryID"": ""1""}}, {""p"": {""reorderLevel"": 25, ""unitsInStock"": 17, ""unitPrice"": 19.0, ""supplierID"": ""1"", ""productID"": ""2"", ""quantityPerUnit"": ""24 - 12 oz bottles"", ""discontinued"": false, ""productName"": ""Chang"", ""unitsOnOrder"": 40, ""categoryID"": ""1""}}, {""p"": {""reorderLevel"": 25, ""unitsInStock"": 13, ""unitPrice"": 10.0, ""supplierID"": ""1"", ""productID"": ""3"", ""quantityPerUnit"": ""12 - 550 ml bottles"", ""discontinued"": false, ""productName"": ""Aniseed Syrup"", ""unitsOnOrder"": 70, ""categoryID"": ""2""}}]","MATCH (s:Supplier {companyName: ""Exotic Liquids""})-[:SUPPLIES]->(p:Product) RETURN p.productName AS Product, p.unitPrice AS UnitPrice, p.unitsInStock AS UnitsInStock LIMIT 50;","[{""Product"": ""Chai"", ""UnitPrice"": 18.0, ""UnitsInStock"": 39}, {""Product"": ""Chang"", ""UnitPrice"": 19.0, ""UnitsInStock"": 17}, {""Product"": ""Aniseed Syrup"", ""UnitPrice"": 10.0, ""UnitsInStock"": 13}]"
List the first 5 products with reorder levels set at 30.,"[{""p"": {""reorderLevel"": 30, ""unitsInStock"": 22, ""unitPrice"": 21.0, ""supplierID"": ""5"", ""productID"": ""11"", ""quantityPerUnit"": ""1 kg pkg."", ""discontinued"": false, ""productName"": ""Queso Cabrales"", ""unitsOnOrder"": 30, ""categoryID"": ""4""}}, {""p"": {""reorderLevel"": 30, ""unitsInStock"": 76, ""unitPrice"": 14.0, ""supplierID"": ""11"", ""productID"": ""25"", ""quantityPerUnit"": ""20 - 450 g glasses"", ""discontinued"": false, ""productName"": ""NuNuCa Nu\u00df-Nougat-Creme"", ""unitsOnOrder"": 0, ""categoryID"": ""3""}}, {""p"": {""reorderLevel"": 30, ""unitsInStock"": 49, ""unitPrice"": 43.9, ""supplierID"": ""11"", ""productID"": ""27"", ""quantityPerUnit"": ""100 - 100 g pieces"", ""discontinued"": false, ""productName"": ""Schoggi Schokolade"", ""unitsOnOrder"": 0, ""categoryID"": ""3""}}, {""p"": {""reorderLevel"": 30, ""unitsInStock"": 123, ""unitPrice"": 18.4, ""supplierID"": ""19"", ""productID"": ""40"", ""quantityPerUnit"": ""24 - 4 oz tins"", ""discontinued"": false, ""productName"": ""Boston Crab Meat"", ""unitsOnOrder"": 0, ""categoryID"": ""8""}}, {""p"": {""reorderLevel"": 30, ""unitsInStock"": 65, ""unitPrice"": 16.25, ""supplierID"": ""23"", ""productID"": ""50"", ""quantityPerUnit"": ""12 - 100 g bars"", ""discontinued"": false, ""productName"": ""Valkoinen suklaa"", ""unitsOnOrder"": 0, ""categoryID"": ""3""}}]","MATCH (p:Product) WHERE p.reorderLevel = 30 RETURN p.productName AS Product, p.unitPrice AS UnitPrice, p.unitsInStock AS UnitsInStock LIMIT 5;","[{""Product"": ""Queso Cabrales"", ""UnitPrice"": 21.0, ""UnitsInStock"": 22}, {""Product"": ""NuNuCa Nu\u00df-Nougat-Creme"", ""UnitPrice"": 14.0, ""UnitsInStock"": 76}, {""Product"": ""Schoggi Schokolade"", ""UnitPrice"": 43.9, ""UnitsInStock"": 49}, {""Product"": ""Boston Crab Meat"", ""UnitPrice"": 18.4, ""UnitsInStock"": 123}, {""Product"": ""Valkoinen suklaa"", ""UnitPrice"": 16.25, ""UnitsInStock"": 65}]"
Which 3 categories have the fewest products with units on order?,"[{""category"": ""Produce"", ""productCount"": 1}, {""category"": ""Grains/Cereals"", ""productCount"": 2}, {""category"": ""Condiments"", ""productCount"": 2}]",,"""Sorry, I couldn't find an answer to your question"""
Which 3 suppliers have the highest average units in stock per product?,"[{""s.companyName"": ""New England Seafood Cannery"", ""avgUnitsInStock"": 104.0}, {""s.companyName"": ""PB Kn\u00e4ckebr\u00f6d AB"", ""avgUnitsInStock"": 82.5}, {""s.companyName"": ""Svensk Sj\u00f6f\u00f6da AB"", ""avgUnitsInStock"": 74.66666666666667}]","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WITH s, AVG(p.unitsInStock) AS averageUnitsInStock RETURN s.companyName AS Supplier, averageUnitsInStock ORDER BY averageUnitsInStock DESC LIMIT 3;","[{""Supplier"": ""New England Seafood Cannery"", ""averageUnitsInStock"": 104.0}, {""Supplier"": ""PB Kn\u00e4ckebr\u00f6d AB"", ""averageUnitsInStock"": 82.5}, {""Supplier"": ""Svensk Sj\u00f6f\u00f6da AB"", ""averageUnitsInStock"": 74.66666666666667}]"
Which 5 products have been reordered the most times?,[],"MATCH (p:Product) WHERE p.unitsOnOrder > 0 RETURN p.productName AS Product, p.unitsOnOrder AS ReorderCount ORDER BY ReorderCount DESC LIMIT 5;","[{""Product"": ""Louisiana Hot Spiced Okra"", ""ReorderCount"": 100}, {""Product"": ""Wimmers gute Semmelkn\u00f6del"", ""ReorderCount"": 80}, {""Product"": ""Rogede sild"", ""ReorderCount"": 70}, {""Product"": ""Gorgonzola Telino"", ""ReorderCount"": 70}, {""Product"": ""Aniseed Syrup"", ""ReorderCount"": 70}]"
What is the average reorderLevel for products that have been ordered in quantities greater than 100?,"[{""avg(p.reorderLevel)"": null}]",MATCH (p:Product)<-[:ORDERS]-(o:Order)-[r:ORDERS]->(p) WHERE r.quantity > 100 RETURN AVG(p.reorderLevel) AS AverageReorderLevel LIMIT 50;,"[{""AverageReorderLevel"": null}]"
What is the total revenue generated by orders that include products with a discount?,"[{""totalRevenue"": 0}]","MATCH (o:Order)-[r:ORDERS]->(p:Product) WHERE r.discount IS NOT NULL AND r.discount <> """" WITH SUM(r.quantity * p.unitPrice * (1 - toFloat(r.discount) / 100)) AS totalRevenue RETURN totalRevenue AS TotalRevenue;","[{""TotalRevenue"": 1448410.666554999}]"
Provide the names of all products that have a quantity per unit description containing 'bottles'.,"[{""productName"": ""Chang""}, {""productName"": ""Aniseed Syrup""}, {""productName"": ""Genen Shouyu""}, {""productName"": ""Sasquatch Ale""}, {""productName"": ""Steeleye Stout""}, {""productName"": ""C\u00f4te de Blaye""}, {""productName"": ""Sirop d'\u00e9rable""}, {""productName"": ""Louisiana Fiery Hot Pepper Sauce""}, {""productName"": ""Laughing Lumberjack Lager""}, {""productName"": ""Outback Lager""}, {""productName"": ""Rh\u00f6nbr\u00e4u Klosterbier""}]",MATCH (p:Product) WHERE toLower(p.quantityPerUnit) CONTAINS 'bottles' RETURN p.productName AS ProductName LIMIT 50;,"[{""ProductName"": ""Chang""}, {""ProductName"": ""Aniseed Syrup""}, {""ProductName"": ""Genen Shouyu""}, {""ProductName"": ""Sasquatch Ale""}, {""ProductName"": ""Steeleye Stout""}, {""ProductName"": ""C\u00f4te de Blaye""}, {""ProductName"": ""Sirop d'\u00e9rable""}, {""ProductName"": ""Louisiana Fiery Hot Pepper Sauce""}, {""ProductName"": ""Laughing Lumberjack Lager""}, {""ProductName"": ""Outback Lager""}, {""ProductName"": ""Rh\u00f6nbr\u00e4u Klosterbier""}]"
Who are the customers in the 'NULL' region?,"[{""customerName"": ""Maria Anders"", ""companyName"": ""Alfreds Futterkiste""}, {""customerName"": ""Ana Trujillo"", ""companyName"": ""Ana Trujillo Emparedados y helados""}, {""customerName"": ""Antonio Moreno"", ""companyName"": ""Antonio Moreno Taquer\u00eda""}, {""customerName"": ""Thomas Hardy"", ""companyName"": ""Around the Horn""}, {""customerName"": ""Christina Berglund"", ""companyName"": ""Berglunds snabbk\u00f6p""}, {""customerName"": ""Hanna Moos"", ""companyName"": ""Blauer See Delikatessen""}, {""customerName"": ""Fr\u00e9d\u00e9rique Citeaux"", ""companyName"": ""Blondesddsl p\u00e8re et fils""}, {""customerName"": ""Mart\u00edn Sommer"", ""companyName"": ""B\u00f3lido Comidas preparadas""}, {""customerName"": ""Laurence Lebihan"", ""companyName"": ""Bon app'""}, {""customerName"": ""Victoria Ashworth"", ""companyName"": ""B's Beverages""}, {""customerName"": ""Patricio Simpson"", ""companyName"": ""Cactus Comidas para llevar""}, {""customerName"": ""Francisco Chang"", ""companyName"": ""Centro comercial Moctezuma""}, {""customerName"": ""Yang Wang"", ""companyName"": ""Chop-suey Chinese""}, {""customerName"": ""Elizabeth Brown"", ""companyName"": ""Consolidated Holdings""}, {""customerName"": ""Sven Ottlieb"", ""companyName"": ""Drachenblut Delikatessen""}, {""customerName"": ""Janine Labrune"", ""companyName"": ""Du monde entier""}, {""customerName"": ""Ann Devon"", ""companyName"": ""Eastern Connection""}, {""customerName"": ""Roland Mendel"", ""companyName"": ""Ernst Handel""}, {""customerName"": ""Diego Roel"", ""companyName"": ""FISSA Fabrica Inter. Salchichas S.A.""}, {""customerName"": ""Martine Ranc\u00e9"", ""companyName"": ""Folies gourmandes""}, {""customerName"": ""Maria Larsson"", ""companyName"": ""Folk och f\u00e4 HB""}, {""customerName"": ""Peter Franken"", ""companyName"": ""Frankenversand""}, {""customerName"": ""Carine Schmitt"", ""companyName"": ""France restauration""}, {""customerName"": ""Paolo Accorti"", ""companyName"": ""Franchi S.p.A.""}, {""customerName"": ""Lino Rodriguez"", ""companyName"": ""Furia Bacalhau e Frutos do Mar""}, {""customerName"": ""Eduardo Saavedra"", ""companyName"": ""Galer\u00eda del gastr\u00f3nomo""}, {""customerName"": ""Jos\u00e9 Pedro Freyre"", ""companyName"": ""Godos Cocina T\u00edpica""}, {""customerName"": ""Philip Cramer"", ""companyName"": ""K\u00f6niglich Essen""}, {""customerName"": ""Daniel Tonini"", ""companyName"": ""La corne d'abondance""}, {""customerName"": ""Annette Roulet"", ""companyName"": ""La maison d'Asie""}, {""customerName"": ""Renate Messner"", ""companyName"": ""Lehmanns Marktstand""}, {""customerName"": ""Giovanni Rovelli"", ""companyName"": ""Magazzini Alimentari Riuniti""}, {""customerName"": ""Catherine Dewey"", ""companyName"": ""Maison Dewey""}, {""customerName"": ""Alexander Feuer"", ""companyName"": ""Morgenstern Gesundkost""}, {""customerName"": ""Simon Crowther"", ""companyName"": ""North/South""}, {""customerName"": ""Yvonne Moncada"", ""companyName"": ""Oc\u00e9ano Atl\u00e1ntico Ltda.""}, {""customerName"": ""Henriette Pfalzheim"", ""companyName"": ""Ottilies K\u00e4seladen""}, {""customerName"": ""Marie Bertrand"", ""companyName"": ""Paris sp\u00e9cialit\u00e9s""}, {""customerName"": ""Guillermo Fern\u00e1ndez"", ""companyName"": ""Pericles Comidas cl\u00e1sicas""}, {""customerName"": ""Georg Pipps"", ""companyName"": ""Piccolo und mehr""}, {""customerName"": ""Isabel de Castro"", ""companyName"": ""Princesa Isabel Vinhos""}, {""customerName"": ""Horst Kloss"", ""companyName"": ""QUICK-Stop""}, {""customerName"": ""Sergio Guti\u00e9rrez"", ""companyName"": ""Rancho grande""}, {""customerName"": ""Maurizio Moroni"", ""companyName"": ""Reggiani Caseifici""}, {""customerName"": ""Michael Holz"", ""companyName"": ""Richter Supermarkt""}, {""customerName"": ""Alejandra Camino"", ""companyName"": ""Romero y tomillo""}, {""customerName"": ""Jonas Bergulfsen"", ""companyName"": ""Sant\u00e9 Gourmet""}, {""customerName"": ""Hari Kumar"", ""companyName"": ""Seven Seas Imports""}, {""customerName"": ""Jytte Petersen"", ""companyName"": ""Simons bistro""}, {""customerName"": ""Dominique Perrier"", ""companyName"": ""Sp\u00e9cialit\u00e9s du monde""}, {""customerName"": ""Pascale Cartrain"", ""companyName"": ""Supr\u00eames d\u00e9lices""}, {""customerName"": ""Karin Josephs"", ""companyName"": ""Toms Spezialit\u00e4ten""}, {""customerName"": ""Miguel Angel Paolino"", ""companyName"": ""Tortuga Restaurante""}, {""customerName"": ""Palle Ibsen"", ""companyName"": ""Vaffeljernet""}, {""customerName"": ""Mary Saveley"", ""companyName"": ""Victuailles en stock""}, {""customerName"": ""Paul Henriot"", ""companyName"": ""Vins et alcools Chevalier""}, {""customerName"": ""Rita M\u00fcller"", ""companyName"": ""Die Wandernde Kuh""}, {""customerName"": ""Pirkko Koskitalo"", ""companyName"": ""Wartian Herkku""}, {""customerName"": ""Matti Karttunen"", ""companyName"": ""Wilman Kala""}, {""customerName"": ""Zbyszek Piestrzeniewicz"", ""companyName"": ""Wolski  Zajazd""}]","MATCH (c:Customer) WHERE c.region IS NULL RETURN c.companyName AS CustomerName, c.city AS City, c.country AS Country LIMIT 50;",[]
List the orders placed by customers in 'Berlin' that have a shipped date in 1997.,"[{""orderID"": ""10643"", ""shippedDate"": ""1997-09-02 00:00:00.000"", ""customerName"": ""Alfreds Futterkiste"", ""productName"": ""R\u00f6ssle Sauerkraut""}, {""orderID"": ""10643"", ""shippedDate"": ""1997-09-02 00:00:00.000"", ""customerName"": ""Alfreds Futterkiste"", ""productName"": ""Chartreuse verte""}, {""orderID"": ""10643"", ""shippedDate"": ""1997-09-02 00:00:00.000"", ""customerName"": ""Alfreds Futterkiste"", ""productName"": ""Spegesild""}, {""orderID"": ""10702"", ""shippedDate"": ""1997-10-21 00:00:00.000"", ""customerName"": ""Alfreds Futterkiste"", ""productName"": ""Lakkalik\u00f6\u00f6ri""}, {""orderID"": ""10702"", ""shippedDate"": ""1997-10-21 00:00:00.000"", ""customerName"": ""Alfreds Futterkiste"", ""productName"": ""Aniseed Syrup""}, {""orderID"": ""10692"", ""shippedDate"": ""1997-10-13 00:00:00.000"", ""customerName"": ""Alfreds Futterkiste"", ""productName"": ""Vegie-spread""}]","MATCH (c:Customer) WHERE toLower(c.city) = ""berlin"" MATCH (c)-[:PURCHASED]->(o:Order) WHERE o.shippedDate >= '1997-01-01 00:00:00.000' AND o.shippedDate < '1998-01-01 00:00:00.000' RETURN c.companyName AS Customer, o.orderID AS OrderID, o.shippedDate AS ShippedDate ORDER BY o.shippedDate ASC LIMIT 50;","[{""Customer"": ""Alfreds Futterkiste"", ""OrderID"": ""10643"", ""ShippedDate"": ""1997-09-02 00:00:00.000""}, {""Customer"": ""Alfreds Futterkiste"", ""OrderID"": ""10692"", ""ShippedDate"": ""1997-10-13 00:00:00.000""}, {""Customer"": ""Alfreds Futterkiste"", ""OrderID"": ""10702"", ""ShippedDate"": ""1997-10-21 00:00:00.000""}]"
List the first 5 orders that included products from at least three different categories.,"[{""o.orderID"": ""10250"", ""o.orderDate"": ""1996-07-08 00:00:00.000"", ""o.shipName"": ""Hanari Carnes"", ""o.shipCity"": "" 67"", ""o.shipCountry"": ""05454-876""}, {""o.orderID"": ""10253"", ""o.orderDate"": ""1996-07-10 00:00:00.000"", ""o.shipName"": ""Hanari Carnes"", ""o.shipCity"": "" 67"", ""o.shipCountry"": ""05454-876""}, {""o.orderID"": ""10254"", ""o.orderDate"": ""1996-07-11 00:00:00.000"", ""o.shipName"": ""Chop-suey Chinese"", ""o.shipCity"": ""Bern"", ""o.shipCountry"": ""Switzerland""}, {""o.orderID"": ""10255"", ""o.orderDate"": ""1996-07-12 00:00:00.000"", ""o.shipName"": ""Richter Supermarkt"", ""o.shipCity"": ""Gen\u00e8ve"", ""o.shipCountry"": ""Switzerland""}, {""o.orderID"": ""10257"", ""o.orderDate"": ""1996-07-16 00:00:00.000"", ""o.shipName"": ""HILARION-Abastos"", ""o.shipCity"": ""San Crist\u00f3bal"", ""o.shipCountry"": ""Venezuela""}]","MATCH (o:Order)-[:ORDERS]->(p:Product)-[:PART_OF]->(c:Category) WITH o, COLLECT(DISTINCT c.categoryID) AS categories WHERE SIZE(categories) >= 3 RETURN o.orderID AS OrderID, SIZE(categories) AS NumberOfCategories ORDER BY o.orderID ASC LIMIT 5;","[{""NumberOfCategories"": 3, ""OrderID"": ""10250""}, {""NumberOfCategories"": 3, ""OrderID"": ""10253""}, {""NumberOfCategories"": 3, ""OrderID"": ""10254""}, {""NumberOfCategories"": 4, ""OrderID"": ""10255""}, {""NumberOfCategories"": 3, ""OrderID"": ""10257""}]"
What is the total revenue generated by orders shipped in the year 1996?,"[{""totalRevenue"": 210112.30000000005}]",MATCH (o:Order) WHERE o.shippedDate >= '1996-01-01' AND o.shippedDate < '1997-01-01' MATCH (o)-[r:ORDERS]->(p:Product) RETURN SUM(r.quantity * p.unitPrice) AS TotalRevenue LIMIT 50;,"[{""TotalRevenue"": 262798.42999999993}]"
Find the top 5 customers who have ordered the product 'Chai'.,"[{""c.companyName"": ""Save-a-lot Markets"", ""orderCount"": 3}, {""c.companyName"": ""Lehmanns Marktstand"", ""orderCount"": 2}, {""c.companyName"": ""LINO-Delicateses"", ""orderCount"": 2}, {""c.companyName"": ""Wartian Herkku"", ""orderCount"": 2}, {""c.companyName"": ""Wellington Importadora"", ""orderCount"": 2}]","MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[r:ORDERS]->(p:Product {productName: ""Chai""}) WITH c, SUM(r.quantity) AS TotalQuantityOrdered RETURN c.companyName AS Customer, TotalQuantityOrdered ORDER BY TotalQuantityOrdered DESC LIMIT 5;","[{""Customer"": ""Save-a-lot Markets"", ""TotalQuantityOrdered"": 130}, {""Customer"": ""Lehmanns Marktstand"", ""TotalQuantityOrdered"": 80}, {""Customer"": ""QUICK-Stop"", ""TotalQuantityOrdered"": 75}, {""Customer"": ""Bottom-Dollar Markets"", ""TotalQuantityOrdered"": 60}, {""Customer"": ""LINO-Delicateses"", ""TotalQuantityOrdered"": 54}]"
List the top 5 suppliers based on the number of cities they supply to.,"[{""supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""cityCount"": 63}, {""supplier"": ""Pavlova"", ""cityCount"": 60}, {""supplier"": ""Specialty Biscuits"", ""cityCount"": 56}, {""supplier"": ""G'day"", ""cityCount"": 55}, {""supplier"": ""Gai p\u00e2turage"", ""cityCount"": 54}]","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WITH s, COUNT(DISTINCT s.city) AS NumberOfCitiesSupplied RETURN s.companyName AS Supplier, NumberOfCitiesSupplied ORDER BY NumberOfCitiesSupplied DESC LIMIT 5;","[{""NumberOfCitiesSupplied"": 1, ""Supplier"": ""New Orleans Cajun Delights""}, {""NumberOfCitiesSupplied"": 1, ""Supplier"": ""Grandma Kelly's Homestead""}, {""NumberOfCitiesSupplied"": 1, ""Supplier"": ""Tokyo Traders""}, {""NumberOfCitiesSupplied"": 1, ""Supplier"": ""Cooperativa de Quesos 'Las Cabras'""}, {""NumberOfCitiesSupplied"": 1, ""Supplier"": ""Exotic Liquids""}]"
